,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
0,2414811.5261065573,717383075.9235679,0.0016552720004296107
1,2414811.5261065573,717383075.9235679,0.0016552720004296107
2,2414811.5261065573,717383075.9235679,0.0016552720004296107
3,2414811.5261065573,717383075.9235679,0.0016552720004296107
4,2414811.5261065573,717383075.9235679,0.0016552720004296107
5,2414811.5261065573,717383075.9235679,0.0016552720004296107
6,2414811.5261065573,717383075.9235679,0.0016552720004296107
7,2414811.5261065573,717383075.9235679,0.0016552720004296107
8,2414811.5261065573,717383075.9235679,0.0016552720004296107
9,2414811.5261065573,717383075.9235679,0.0016552720004296107
10,2414811.5261065573,717383075.9235679,0.0016552720004296107
11,2414811.5261065573,717383075.9235679,0.0016552720004296107
12,2414811.5261065573,717383075.9235679,0.0016552720004296107
13,2414811.5261065573,717383075.9235679,0.0016552720004296107
14,2414811.5261065573,717383075.9235679,0.0016552720004296107
15,2414811.5261065573,717383075.9235679,0.0016552720004296107
16,2414811.5261065573,776003986.6924794,0.0016552720004296107
17,2414811.5261065573,740438245.1488662,0.0016552720004296107
18,2414811.5261065573,777516669.1227448,0.0016552720004296107
19,2414811.5261065573,649680135.2250656,0.0016552720004296107
20,2414811.5261065573,670125602.0750889,0.0016552720004296107
21,2414811.5261065573,717383075.9235679,0.0016552720004296107
22,2414811.5261065573,729349409.2232441,0.0016552720004296107
23,2414811.5261065573,693450142.9670967,0.0016552720004296107
24,2414811.5261065573,703779109.5724199,0.0016552720004296107
25,0.0,724699519.6851361,0.0
26,2414811.5261065573,707388580.7166033,0.0016552720004296107
27,2414811.5261065573,717383075.9235679,0.0016552720004296107
28,2414811.5261065573,711375790.8561392,0.0016552720004296107
29,2414811.5261065573,774523345.2535696,0.0016552720004296107
30,2414811.5261065573,721477009.5878041,0.0016552720004296107
31,2414811.5261065573,717383229.3505027,0.00024829080006444164
32,0.0,795963382.7727529,0.0
33,0.0,795963382.7727529,0.0
34,0.0,795963382.7727529,0.0
35,0.0,795963382.7727529,0.0
36,0.0,795963382.7727529,0.0
37,0.0,795963382.7727529,0.0
38,0.0,795963382.7727529,0.0
39,0.0,795963382.7727529,0.0
40,0.0,795963382.7727529,0.0
41,0.0,795963382.7727529,0.0
42,0.0,795963382.7727529,0.0
43,0.0,795963382.7727529,0.0
44,0.0,795963382.7727529,0.0
45,0.0,795963382.7727529,0.0
46,0.0,795963382.7727529,0.0
47,0.0,721359554.6277868,0.0
48,0.0,763746084.4002815,0.0
49,0.0,719884659.216459,0.0
50,0.0,856358136.3580978,0.0
51,0.0,835912669.5080745,0.0
52,0.0,795963382.7727529,0.0
53,0.0,786459981.3957523,0.0
54,0.0,819309843.4463484,0.0
55,0.0,808262916.9966937,0.0
56,2414811.5261065573,789707062.7106364,0.00024829080006444164
57,0.0,807017848.2522343,0.0
58,0.0,795963382.7727529,0.0
59,0.0,804018701.4799778,0.0
60,0.0,739986945.8397431,0.0
61,0.0,791280535.6526934,0.0
62,0.0,795963382.7727529,0.0
63,0.0,795963382.7727529,0.0
64,74114315.459752,523818295.3649428,0.013407921385358455
65,74114315.459752,523818295.3649428,0.013407921385358455
66,74114315.459752,523818295.3649428,0.013407921385358455
67,74114315.459752,523818295.3649428,0.013407921385358455
68,74114315.459752,523818295.3649428,0.013407921385358455
69,74114315.459752,523818295.3649428,0.013407921385358455
70,74114315.459752,523818295.3649428,0.013407921385358455
71,74114315.459752,523818295.3649428,0.013407921385358455
72,74114315.459752,523818295.3649428,0.013407921385358455
73,74114315.459752,523818295.3649428,0.013407921385358455
74,74114315.459752,523818295.3649428,0.013407921385358455
75,74114315.459752,523818295.3649428,0.013407921385358455
76,74114315.459752,523818295.3649428,0.013407921385358455
77,74114315.459752,523818295.3649428,0.013407921385358455
78,74114315.459752,523818295.3649428,0.013407921385358455
79,74114315.459752,523818295.3649428,0.013407921385358455
80,74114315.459752,465761261.69117177,0.013407921385358455
81,74114315.459752,545099168.5049672,0.013407921385358455
82,74114315.459752,484005504.6423733,0.013407921385358455
83,74114315.459752,569411570.9858531,0.013407921385358455
84,74114315.459752,567809627.6152544,0.013407921385358455
85,74114315.459752,523818295.3649428,0.013407921385358455
86,51827480.9333158,547820425.3865037,0.0060622691255418975
87,74114315.459752,538023967.1932135,0.013407921385358455
88,74114315.459752,559733818.5584109,0.013407921385358455
89,47218199.08072847,534640873.3359965,0.011465710996034453
90,66941138.89729099,534583053.0147569,0.012974279969388259
91,74114315.459752,523818295.3649428,0.013407921385358455
92,74114315.459752,517239755.113974,0.013407921385358455
93,74114315.459752,471724538.94062394,0.013407921385358455
94,74114315.459752,530110628.64669645,0.013407921385358455
95,74114315.459752,523813956.4482603,0.08938614256905636
96,24298185.3828033,600942484.7357559,0.027183640664208128
97,24298185.3828033,600942484.7357559,0.027183640664208128
98,24298185.3828033,600942484.7357559,0.027183640664208128
99,24298185.3828033,600942484.7357559,0.027183640664208128
100,24298185.3828033,600942484.7357559,0.027183640664208128
101,24298185.3828033,600942484.7357559,0.027183640664208128
102,24298185.3828033,600942484.7357559,0.027183640664208128
103,24298185.3828033,600942484.7357559,0.027183640664208128
104,24298185.3828033,600942484.7357559,0.027183640664208128
105,24298185.3828033,600942484.7357559,0.027183640664208128
106,24298185.3828033,600942484.7357559,0.027183640664208128
107,24298185.3828033,600942484.7357559,0.027183640664208128
108,24298185.3828033,600942484.7357559,0.027183640664208128
109,24298185.3828033,600942484.7357559,0.027183640664208128
110,24298185.3828033,600942484.7357559,0.027183640664208128
111,24298185.3828033,655705666.5677762,0.027183640664208128
112,24298185.3828033,585292016.7192221,0.027183640664208128
113,24298185.3828033,636937779.7404015,0.027183640664208128
114,24298185.3828033,547301583.8950919,0.027183640664208128
115,24298185.3828033,548903527.2656906,0.027183640664208128
116,24298185.3828033,600942484.7357559,0.027183640664208128
117,46585019.909239486,572998797.5948657,0.07615465572965183
118,24298185.3828033,578722426.84415,0.027183640664208128
