,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
66,6000574054.505777,0.0,4.750554649631942
67,424751240.4931134,0.0,0.3448719225951555
68,1317047763.3485823,0.0,1.1357052052335734
69,1270072729.952284,0.0,2.604586293165496
70,1256946759.3870304,0.0,1.2449369752687418
71,142180220.93851352,0.0,0.24863832598915253
72,384624772.86231697,0.0,0.4596157623562642
73,713556394.4146187,0.0,0.5303478036319217
74,4281933049.506847,0.0,4.66193984671952
75,1034570246.0778041,0.0,1.1120268391811936
76,3618273471.9836597,0.0,2.110321174414935
77,3234984734.897518,0.0,2.1541846850403297
78,2679838262.157711,0.0,3.1676172507808227
79,631607563.0814497,0.0,0.7528982928566781
80,1282200607.3374834,0.0,1.6012780822233639
81,635743712.7724043,0.0,0.697694859850477
82,3133182035.32755,0.0,4.106587647558659
83,3362566694.034982,0.0,2.3595463053846766
84,2550845586.7443666,0.0,2.383671173884359
85,187663354.59851876,0.0,0.13785052223622588
86,473739477.858981,0.0,0.5204009244721692
87,2137418356.0938473,0.0,4.083047642057494
88,5050679430.909838,0.0,3.8891926322991712
89,284842657.0577,0.0,0.23267865373358004
90,122812412.02764706,0.0,0.18967151568087454
91,4577514661.131409,0.0,5.20701356600188
92,2047762209.490523,0.0,2.135330905805353
93,3379301961.7474756,0.0,4.136416566434072
94,176336400.08785313,0.0,0.2496439586806428
95,900838632.3747635,0.0,0.9647709330865757
96,2072227102.6911607,0.0,1.4391944984814908
97,709501828.4212232,0.0,0.7775013101515212
98,2837264201.2734084,0.0,2.5462504286384116
99,464371794.7586183,0.0,0.5615981060198959
100,3860610076.2654653,0.0,2.753037313843086
101,5424824550.54889,0.0,5.241499146084073
102,5241380376.279351,0.0,3.9694482826827833
103,1026586222.7396128,0.0,0.8338440012458683
104,1525072409.28162,0.0,1.4708973292135514
105,4040580475.336704,0.0,3.1151932570483556
106,1167214054.3922813,0.0,1.5973894741373302
107,2998983059.286012,0.0,3.411566627477894
108,4687422438.045579,0.0,2.978922191192308
109,5046625726.929679,0.0,5.738909802719894
110,1709387492.6389759,0.0,1.5278196371293316
111,1588616846.3266964,0.0,1.0333650680205302
112,713266197.6060619,0.0,0.9686402454782909
113,874980428.8292323,0.0,0.8310699201462453
114,4087542572.6977286,0.0,4.713423591785496
115,788505916.0461841,0.0,1.0030008641203034
116,211487432.4430296,0.0,0.2947669347382334
117,173222954.40498662,0.0,0.21456484260360464
118,4082352271.5666113,0.0,2.8538250117066246
119,4569430868.550168,0.0,2.378958963216214
120,1478257482.545167,0.0,1.280933510784243
121,1148086419.3869395,0.0,2.4769631783871144
122,3370513827.816847,0.0,2.191524030989845
123,892697334.3663919,0.0,1.0620658542683103
124,840929937.7766999,0.0,0.7575995379225784
125,3363854017.2384286,0.0,2.204298006048572
126,4142881064.211246,0.0,5.160779999089749
127,4395651157.285417,0.0,3.314477992681519
128,140151393.12896773,0.0,0.16916162127556883
129,704061977.9064388,0.0,1.0379512310791814
130,748990208.172612,0.0,0.5959346376610725
131,1659944093.4384644,0.0,2.7766631086152804
132,776359668.9222435,0.0,0.6156609020499807
133,3729801253.822544,0.0,2.483916677404399
134,4052761407.4412537,0.0,2.279973988257326
135,3917775081.9256415,0.0,2.653588149135608
136,3619461377.212285,0.0,3.0877374085716243
137,1077367076.2596827,0.0,1.9227890736692757
138,2790291724.2984324,0.0,4.324832122855174
139,2868817228.488666,0.0,2.3678975485619227
140,7077837712.902367,0.0,6.321617026524388
141,2340700463.006371,0.0,3.787197767057101
142,2399683191.9976845,0.0,4.019260921401314
143,3143859075.213246,0.0,2.3679037312646267
144,2554547133.3330855,0.0,1.8840917077199932
145,2146647551.0381324,0.0,2.1535334099440897
146,3828213445.6471677,0.0,2.67894158195515
147,4755321285.890027,0.0,4.659879244410053
148,2789205410.135871,0.0,2.3011595572003922
149,557318303.0163893,0.0,0.5720002599477543
150,1034272831.4047961,0.0,0.9990896719042848
151,2887473153.0539165,0.0,2.8844186132601237
152,2189755388.3990974,0.0,2.9717530715960607
153,489863681.58568037,0.0,0.5336200311699084
154,2450053070.4376707,0.0,2.342642079520152
155,3631054913.192008,0.0,2.124538423262515
156,4095495890.222203,0.0,3.297721679899502
157,1117210824.0817194,0.0,0.835959405552826
158,2660426590.301326,0.0,1.900715673411004
159,3903106021.6880193,0.0,2.4710907661468475
160,3310931197.0412674,0.0,2.1099677812178754
161,1607805843.7355094,0.0,2.1767048214459304
162,1687212875.0589235,0.0,3.681873062864587
163,3302497015.8930917,0.0,2.1281144995252306
164,1231592227.467191,0.0,1.7136162045082333
165,1474747066.780483,0.0,2.1274241790397346
166,5091782260.280285,0.0,5.61562965226717
167,3452473828.439644,0.0,4.082627141112304
168,4495185244.291326,0.0,2.555257192651509
169,3776824532.3271446,0.0,2.842571198110287
170,3353355832.6385307,0.0,3.8637056789401236
171,3557619920.2406497,0.0,3.2008207581404275
172,6280690943.881039,0.0,5.850146939456982
173,4259744256.040503,0.0,6.307662239627435
174,806973384.5721449,0.0,1.0089082954796709
175,1180600813.5930307,0.0,1.6232021664805725
176,1791189403.5238974,0.0,1.4143265594515846
177,2969687649.6483445,0.0,2.2297195423177167
