,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
0,13811526.00529183,717383075.9235679,0.011517640290124573
1,13811526.00529183,717383075.9235679,0.011517640290124573
2,13811526.00529183,717383075.9235679,0.011517640290124573
3,13811526.00529183,717383075.9235679,0.011517640290124573
4,13811526.00529183,717383075.9235679,0.011517640290124573
5,13811526.00529183,717383075.9235679,0.011517640290124573
6,13811526.00529183,717383075.9235679,0.011517640290124573
7,13811526.00529183,717383075.9235679,0.011517640290124573
8,13811526.00529183,717383075.9235679,0.011517640290124573
9,13811526.00529183,717383075.9235679,0.011517640290124573
10,13811526.00529183,717383075.9235679,0.011517640290124573
11,13811526.00529183,717383075.9235679,0.011517640290124573
12,13811526.00529183,717383075.9235679,0.011517640290124573
13,13811526.00529183,717383075.9235679,0.011517640290124573
14,13811526.00529183,717383075.9235679,0.011517640290124573
15,13811526.00529183,717383075.9235679,0.011517640290124573
16,4748879.9724580245,776003986.6924794,0.00659970487640412
17,13811526.00529183,740438245.1488662,0.011517640290124573
18,13811526.00529183,777516669.1227448,0.011517640290124573
19,13811526.00529183,649680135.2250656,0.011517640290124573
20,13811526.00529183,670125602.0750889,0.011517640290124573
21,13811526.00529183,717383075.9235679,0.011517640290124573
22,9062646.032833807,729349409.2232441,0.004917935413720454
23,13811526.00529183,693450142.9670967,0.011517640290124573
24,13811526.00529183,703779109.5724199,0.011517640290124573
25,13811526.00529183,724699519.6851361,0.011517640290124573
26,13811526.00529183,707388580.7166033,0.011517640290124573
27,13811526.00529183,717383075.9235679,0.011517640290124573
28,13811526.00529183,711375790.8561392,0.011517640290124573
29,13811526.00529183,774523345.2535696,0.011517640290124573
30,13811526.00529183,721477009.5878041,0.011517640290124573
31,13811526.00529183,717383296.4197743,0.0017276460435186863
32,0.0,795963382.7727529,0.0
33,0.0,795963382.7727529,0.0
34,0.0,795963382.7727529,0.0
35,0.0,795963382.7727529,0.0
36,0.0,795963382.7727529,0.0
37,0.0,795963382.7727529,0.0
38,0.0,795963382.7727529,0.0
39,0.0,795963382.7727529,0.0
40,0.0,795963382.7727529,0.0
41,0.0,795963382.7727529,0.0
42,0.0,795963382.7727529,0.0
43,0.0,795963382.7727529,0.0
44,0.0,795963382.7727529,0.0
45,0.0,795963382.7727529,0.0
46,0.0,795963382.7727529,0.0
47,9062646.032833807,721359652.0676967,0.0007376903120580682
48,0.0,763746084.4002815,0.0
49,0.0,719884659.216459,0.0
50,0.0,856358136.3580978,0.0
51,0.0,835912669.5080745,0.0
52,0.0,795963382.7727529,0.0
53,4748879.9724580245,786460104.4520488,0.000989955731460618
54,0.0,819309843.4463484,0.0
55,0.0,808262916.9966937,0.0
56,0.0,789706909.2837015,0.0
57,0.0,807017848.2522343,0.0
58,0.0,795963382.7727529,0.0
59,0.0,804018701.4799778,0.0
60,0.0,739986945.8397431,0.0
61,0.0,791280535.6526934,0.0
62,0.0,795963382.7727529,0.0
63,0.0,795963382.7727529,0.0
64,633010023.9087602,523832696.3347442,0.12393267662020713
65,633010023.9087602,523832696.3347442,0.12393267662020713
66,633010023.9087602,523832696.3347442,0.12393267662020713
67,633010023.9087602,523832696.3347442,0.12393267662020713
68,633010023.9087602,523832696.3347442,0.12393267662020713
69,633010023.9087602,523832696.3347442,0.12393267662020713
70,633010023.9087602,523832696.3347442,0.12393267662020713
71,633010023.9087602,523832696.3347442,0.12393267662020713
72,633010023.9087602,523832696.3347442,0.12393267662020713
73,633010023.9087602,523832696.3347442,0.12393267662020713
74,633010023.9087602,523832696.3347442,0.12393267662020713
75,633010023.9087602,523832696.3347442,0.12393267662020713
76,633010023.9087602,523832696.3347442,0.12393267662020713
77,633010023.9087602,523832696.3347442,0.12393267662020713
